"Pickup address";"Ride price";"Booking fee";"Tip";"Payment method";"Distance";"Order date";"Time of Order";"Payment date";"Time of Payment"
"Sonia Lane, Nairobi";470.0;22.57;0.0;"Cash";11.0;"2023-01-31";"20:45:00";"2023-01-31";"21:16:00"
"Syokimau, Nairobi";680.0;32.25;0.0;"Cash";17.0;"2023-01-31";"19:51:00";"2023-01-31";"20:29:00"
"Kipande Athumani Street, Nairobi";1250.0;55.88;0.0;"Cash";0.0;"2023-01-31";"17:09:00";"2023-01-31";"17:25:00"
"Flamingo Avenue 1544, Nairobi";570.0;27.23;0.0;"Cash";11.0;"2023-01-31";"16:29:00";"2023-01-31";"17:01:00"
"Road, Nairobi";520.0;24.69;0.0;"Cash";12.0;"2023-01-31";"16:01:00";"2023-01-31";"16:28:00"
"53 Butere Road, Nairobi, Kenya";770.0;35.8;0.0;"Cash";19.0;"2023-01-31";"14:03:00";"2023-01-31";"14:49:00"
"Sore Drive, Nairobi";210.0;9.94;0.0;"Cash";4.0;"2023-01-31";"13:37:00";"2023-01-31";"13:52:00"
"360 Lane, Kenya";680.0;31.96;0.0;"Cash";17.0;"2023-01-31";"13:08:00";"2023-01-31";"13:35:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";520.0;24.82;0.0;"Cash";9.0;"2023-01-31";"11:30:00";"2023-01-31";"11:55:00"
"Riviera Gardens, Nairobi";190.0;9.0;0.0;"Cash";0.0;"2023-01-31";"10:04:00";"2023-01-31";"10:11:00"
"Centenary House, Riverside Westlands Lane, Nairobi";310.0;14.67;0.0;"Cash";5.0;"2023-01-31";"09:25:00";"2023-01-31";"09:54:00"
"United Nations Crescent 74, Nairobi";480.0;22.84;0.0;"Cash";10.0;"2023-01-31";"08:43:00";"2023-01-31";"09:07:00"
"Savannah Road, Nairobi";830.0;38.9;0.0;"Cash";18.0;"2023-01-31";"07:39:00";"2023-01-31";"08:41:00"
"Eastleigh North, Nairobi City";480.0;22.81;0.0;"Cash";12.0;"2023-01-29";"19:03:00";"2023-01-29";"19:36:00"
"Alozi Estate Road 2, Nairobi";410.0;19.57;0.0;"Cash";8.0;"2023-01-29";"18:40:00";"2023-01-29";"19:04:00"
"Mathare North Road, Nairobi";270.0;12.62;0.0;"Cash";4.0;"2023-01-29";"18:25:00";"2023-01-29";"18:38:00"
"Koinage Street Finance House, Nairobi";430.0;20.68;0.0;"Cash";10.0;"2023-01-29";"18:04:00";"2023-01-29";"18:24:00"
"Langata Road, Nairobi";950.0;44.4;0.0;"Cash";19.0;"2023-01-29";"16:40:00";"2023-01-29";"17:51:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";750.0;34.67;0.0;"Cash";20.0;"2023-01-29";"15:42:00";"2023-01-29";"16:17:00"
"Lantana Road, Nairobi";970.0;39.92;0.0;"Bolt Payment";21.0;"2023-01-29";"14:55:00";"2023-01-29";"15:35:00"
"Westlands Commercial Centre, Ring Road Parklands, Nairobi";190.0;9.0;0.0;"Cash";3.0;"2023-01-29";"14:34:00";"2023-01-29";"14:48:00"
"Telagen Gardens Apartments, Hatheru Road, Nairobi, Kenya";390.0;18.54;0.0;"Cash";8.0;"2023-01-29";"14:15:00";"2023-01-29";"14:33:00"
"Sergeant Kahande Street";630.0;29.82;0.0;"Cash";13.0;"2023-01-29";"13:31:00";"2023-01-29";"14:05:00"
"THE DIEVAS SUPERMARKET, Embakasi, Nairobi, Kenya";580.0;27.53;0.0;"Cash";14.0;"2023-01-29";"12:51:00";"2023-01-29";"13:29:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";500.0;23.59;0.0;"Cash";12.0;"2023-01-29";"12:15:00";"2023-01-29";"12:39:00"
"Bima Road, Nairobi";650.0;31.18;0.0;"Cash";19.0;"2023-01-29";"10:27:00";"2023-01-29";"10:56:00"
"Kenyatta Avenue, Nairobi";770.0;35.92;0.0;"Cash";20.0;"2023-01-29";"09:32:00";"2023-01-29";"10:11:00"
"ParallelFour, Total/Strathmore, Nairobi, Kenya";280.0;13.37;0.0;"Cash";5.0;"2023-01-29";"09:13:00";"2023-01-29";"09:30:00"
"Doonholm Road, Nairobi";430.0;20.28;0.0;"Cash";8.0;"2023-01-29";"07:35:00";"2023-01-29";"08:01:00"
"First Avenue Eastleigh, Nairobi";400.0;19.18;0.0;"Cash";8.0;"2023-01-28";"21:54:00";"2023-01-28";"22:13:00"
"South B, Nairobi";340.0;16.19;0.0;"Cash";7.0;"2023-01-28";"21:30:00";"2023-01-28";"21:52:00"
"DG OASIS, Muhoho Road, Nairobi, Kenya";310.0;14.91;0.0;"Cash";6.0;"2023-01-28";"21:08:00";"2023-01-28";"21:29:00"
"Capital Centre, Mombasa Road, Nairobi";230.0;11.03;0.0;"Cash";3.0;"2023-01-28";"20:41:00";"2023-01-28";"21:07:00"
"Nairobi, Kenya";190.0;9.0;0.0;"Cash";2.0;"2023-01-28";"20:32:00";"2023-01-28";"20:37:00"
"Captain Mungai Street, Nairobi";600.0;28.7;0.0;"Cash";9.0;"2023-01-28";"19:37:00";"2023-01-28";"20:27:00"
"Nairobi South, Nairobi";320.0;15.28;0.0;"Cash";4.0;"2023-01-28";"19:20:00";"2023-01-28";"19:37:00"
"Likoni Road South B, Nairobi";210.0;10.13;0.0;"Cash";4.0;"2023-01-28";"18:59:00";"2023-01-28";"19:16:00"
"Akiba United 78, Unnamed Road, Nairobi, Kenya";220.0;10.55;0.0;"Cash";4.0;"2023-01-28";"18:15:00";"2023-01-28";"18:31:00"
"City Hall Way, Nairobi";260.0;12.49;0.0;"Cash";4.0;"2023-01-28";"17:54:00";"2023-01-28";"18:11:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";750.0;35.93;0.0;"Cash";17.0;"2023-01-28";"17:26:00";"2023-01-28";"17:53:00"
"Yare Plaza Eastleigh, Nairobi";1020.0;42.63;0.0;"Cash";20.0;"2023-01-28";"16:30:00";"2023-01-28";"17:25:00"
"Kiganjo Avenue, Nairobi";380.0;18.14;0.0;"Cash";7.0;"2023-01-28";"15:48:00";"2023-01-28";"16:30:00"
"Donholm, Nairobi";590.0;27.98;0.0;"Cash";12.0;"2023-01-28";"15:16:00";"2023-01-28";"15:48:00"
"Kaloleni Social Hall, Nairobi";510.0;24.23;0.0;"Cash";8.0;"2023-01-28";"14:46:00";"2023-01-28";"15:16:00"
"Kodi (I) Road, Nairobi";370.0;17.64;0.0;"Cash";5.0;"2023-01-28";"14:26:00";"2023-01-28";"14:45:00"
"Zanzibar Homes 21, Zanzibar Road, Nairobi, Kenya";310.0;14.99;0.0;"Cash";3.0;"2023-01-28";"14:08:00";"2023-01-28";"14:26:00"
"Taifa Road Reinsurance Plaza, Nairobi";290.0;13.59;0.0;"Cash";4.0;"2023-01-28";"13:42:00";"2023-01-28";"14:03:00"
"Langata Road 229, Nairobi";320.0;15.39;0.0;"Cash";6.0;"2023-01-28";"13:22:00";"2023-01-28";"13:42:00"
"Dagoretti Road Karen The Hub, Nairobi";630.0;27.71;0.0;"Cash";14.0;"2023-01-28";"13:00:00";"2023-01-28";"13:18:00"
"Karuku Road, Nairobi";260.0;12.33;0.0;"Cash";6.0;"2023-01-28";"10:29:00";"2023-01-28";"10:42:00"
"Steers South C, Mombasa Road, Nairobi";190.0;9.0;0.0;"Cash";3.0;"2023-01-28";"10:16:00";"2023-01-28";"10:29:00"
"Wall Flower Apartments, Nairobi, Kenya";230.0;10.88;0.0;"Cash";4.0;"2023-01-28";"09:49:00";"2023-01-28";"10:08:00"
"Easy Prestige Apartments, Off Road Mombasa, Nairobi, Kenya";540.0;25.6;0.0;"Cash";12.0;"2023-01-28";"09:13:00";"2023-01-28";"09:48:00"
"Crystal Park Apartments, Katani Road, Syokimau, Nairobi, Kenya";390.0;14.04;0.0;"Cash";6.0;"2023-01-28";"08:01:00";"2023-01-28";"08:32:00"
"Savannah Road, Nairobi";490.0;23.16;0.0;"Cash";10.0;"2023-01-28";"07:23:00";"2023-01-28";"07:48:00"
"Gitanga Road, Nairobi";600.0;28.4;0.0;"Cash";14.0;"2023-01-25";"21:03:00";"2023-01-25";"21:40:00"
"Kariobangi North, Nairobi";740.0;34.62;0.0;"Cash";18.0;"2023-01-25";"20:03:00";"2023-01-25";"20:38:00"
"Nairobi, Kenya";510.0;24.12;0.0;"Cash";10.0;"2023-01-25";"19:17:00";"2023-01-25";"20:00:00"
"Naivas Supermarket - Mountain Mall Branch, Nairobi, Kenya";260.0;12.45;0.0;"Cash";4.0;"2023-01-25";"18:51:00";"2023-01-25";"19:14:00"
"Umoja, Nairobi";320.0;14.87;0.0;"Cash";5.0;"2023-01-25";"18:15:00";"2023-01-25";"18:34:00"
"General Waruingi Street, Nairobi";660.0;31.38;0.0;"Cash";16.0;"2023-01-25";"16:11:00";"2023-01-25";"16:57:00"
"Gandhi Avenue, Nairobi";390.0;18.62;0.0;"Cash";7.0;"2023-01-25";"15:41:00";"2023-01-25";"16:10:00"
"DTB Centre, Mombasa Road";250.0;11.61;0.0;"Cash";4.0;"2023-01-25";"15:31:00";"2023-01-25";"15:40:00"
"Great Wall Apartments, Beijing Road, Mlolongo";240.0;11.05;0.0;"Cash";4.0;"2023-01-25";"14:58:00";"2023-01-25";"15:14:00"
"Eldoret Drive, Nairobi";670.0;31.84;0.0;"Cash";18.0;"2023-01-25";"13:55:00";"2023-01-25";"14:43:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";510.0;24.47;0.0;"Cash";12.0;"2023-01-25";"13:20:00";"2023-01-25";"13:52:00"
"Mombasa Road, Nairobi";290.0;14.03;0.0;"Cash";6.0;"2023-01-25";"12:19:00";"2023-01-25";"12:32:00"
"Grevillea Lane, Nairobi";190.0;9.0;0.0;"Cash";1.0;"2023-01-25";"12:05:00";"2023-01-25";"12:18:00"
"Dunga Close, Nairobi";390.0;18.59;0.0;"Bolt Payment";9.0;"2023-01-25";"11:32:00";"2023-01-25";"11:50:00"
"Kabiyeti Road, Nairobi";190.0;9.0;0.0;"Cash";2.0;"2023-01-25";"11:10:00";"2023-01-25";"11:22:00"
"Bogani East Road, Nairobi";460.0;21.48;0.0;"Cash";6.0;"2023-01-25";"10:45:00";"2023-01-25";"11:03:00"
"Uchumi 145, Nairobi";420.0;20.22;0.0;"Cash";10.0;"2023-01-25";"09:56:00";"2023-01-25";"10:20:00"
"Vision Plaza Parking Lot, Mombasa Road, Nairobi";490.0;23.08;0.0;"Cash";10.0;"2023-01-25";"08:32:00";"2023-01-25";"09:18:00"
"Amalia Apartments - Syokimau, Chady Road, Nairobi, Kenya";450.0;20.96;0.0;"Cash";9.0;"2023-01-25";"08:00:00";"2023-01-25";"08:27:00"
"Green Court, Nairobi";640.0;30.35;0.0;"Cash";13.0;"2023-01-25";"07:16:00";"2023-01-25";"07:53:00"
"Kaunda Street 5, Nairobi";720.0;33.5;0.0;"Cash";17.0;"2023-01-24";"21:26:00";"2023-01-24";"21:59:00"
"Wood Avenue, Nairobi";210.0;10.0;0.0;"Cash";2.0;"2023-01-24";"21:00:00";"2023-01-24";"21:11:00"
"Silver Harbor apartments, Nairobi";340.0;16.29;0.0;"Cash";6.0;"2023-01-24";"20:13:00";"2023-01-24";"20:37:00"
"Malo malo Restaurant & Sports Lounge, Nairobi, Kenya";190.0;9.0;0.0;"Cash";2.0;"2023-01-24";"19:45:00";"2023-01-24";"19:55:00"
"Margaret Wambui Kenyatta Road, Nairobi";210.0;10.14;0.0;"Bolt Payment";3.0;"2023-01-24";"19:25:00";"2023-01-24";"19:41:00"
"General Mathenge Road, Nairobi";440.0;21.11;0.0;"Cash";8.0;"2023-01-24";"18:28:00";"2023-01-24";"19:00:00"
"Muhoho Avenue 123, Nairobi";560.0;26.49;0.0;"Cash";8.0;"2023-01-24";"17:28:00";"2023-01-24";"18:27:00"
"Muhoho Avenue, Nairobi";190.0;9.0;0.0;"Cash";2.0;"2023-01-24";"16:50:00";"2023-01-24";"17:06:00"
"Butere Road, Nairobi";200.0;9.37;0.0;"Cash";3.0;"2023-01-24";"16:32:00";"2023-01-24";"16:48:00"
"MP Shah Hospital, Nairobi";380.0;18.06;0.0;"Cash";7.0;"2023-01-24";"15:27:00";"2023-01-24";"16:16:00"
"Kiambu Road Ciata Mall, Nairobi";410.0;19.26;0.0;"Cash";9.0;"2023-01-24";"14:52:00";"2023-01-24";"15:17:00"
"Muthithi Road 65, Nairobi";390.0;18.4;0.0;"Cash";9.0;"2023-01-24";"13:46:00";"2023-01-24";"14:07:00"
"Elgon Road, Nairobi";380.0;17.82;0.0;"Cash";7.0;"2023-01-24";"12:58:00";"2023-01-24";"13:27:00"
"Banda Street JKUAT Towers, Nairobi";230.0;10.68;0.0;"Cash";3.0;"2023-01-24";"12:14:00";"2023-01-24";"12:31:00"
"Mwingi Road, Nairobi";320.0;15.25;0.0;"Cash";5.0;"2023-01-24";"11:40:00";"2023-01-24";"12:11:00"
"Gitanga Road, Nairobi";190.0;9.0;0.0;"Cash";2.0;"2023-01-24";"11:14:00";"2023-01-24";"11:31:00"
"Ruaka, Kenya";630.0;29.89;0.0;"Cash";15.0;"2023-01-24";"10:17:00";"2023-01-24";"10:50:00"
"Nyasi Lane, Nairobi";550.0;26.04;0.0;"Cash";11.0;"2023-01-24";"07:45:00";"2023-01-24";"08:36:00"
"Nairobi, Kenya";530.0;25.17;0.0;"Cash";6.0;"2023-01-24";"07:03:00";"2023-01-24";"07:43:00"
"Mara Savanah Chicken Cool, Nairobi City, Kenya";500.0;23.92;0.0;"Cash";11.0;"2023-01-24";"06:39:00";"2023-01-24";"07:05:00"
"Langata Road, Nairobi";290.0;13.42;0.0;"Cash";5.0;"2023-01-23";"08:24:00";"2023-01-23";"08:51:00"
"Nasra Gardens Estate, Kayole Spine Road, Nairobi";550.0;26.03;0.0;"Cash";11.0;"2023-01-23";"07:30:00";"2023-01-23";"08:16:00"
"87 Parklands Road, Nairobi, Kenya";650.0;30.78;0.0;"Cash";17.0;"2023-01-23";"06:24:00";"2023-01-23";"07:09:00"
"Doonholm Road, Nairobi";620.0;29.55;0.0;"Cash";15.0;"2023-01-23";"06:00:00";"2023-01-23";"06:29:00"
"Quiver Lounge - Thika Road, Thika Road, Nairobi";460.0;21.94;0.0;"Cash";11.0;"2023-01-22";"21:01:00";"2023-01-22";"21:24:00"
"Lumumba 1st Avenue, Nairobi";280.0;12.97;0.0;"Cash";4.0;"2023-01-22";"20:47:00";"2023-01-22";"20:58:00"
"Greystone apartments, Mtama Road, Nairobi, Kenya";500.0;23.67;0.0;"Cash";11.0;"2023-01-22";"19:43:00";"2023-01-22";"20:07:00"
"9th Street, Nairobi, Kenya";400.0;19.2;0.0;"Cash";7.0;"2023-01-22";"19:07:00";"2023-01-22";"19:41:00"
"Limuru Road , Two Rivers Mall";760.0;33.48;0.0;"Cash";14.0;"2023-01-22";"17:53:00";"2023-01-22";"19:03:00"
"Limuru Road, Nairobi";660.0;31.26;0.0;"Cash";14.0;"2023-01-22";"15:36:00";"2023-01-22";"16:18:00"
"Ole Villas, Nairobi";630.0;27.6;0.0;"Cash";13.0;"2023-01-22";"14:11:00";"2023-01-22";"14:48:00"
"Nairobi, Kenya";490.0;22.96;0.0;"Cash";11.0;"2023-01-22";"13:34:00";"2023-01-22";"14:04:00"
"Likoni Road, Nairobi";230.0;10.92;0.0;"Cash";4.0;"2023-01-22";"13:20:00";"2023-01-22";"13:34:00"
"Golf View Apartments, Mucai Drive, Nairobi";410.0;19.52;0.0;"Cash";9.0;"2023-01-22";"12:58:00";"2023-01-22";"13:19:00"
"Nairobi Baptist Church, Ngong Road, Nairobi";190.0;9.0;0.0;"Cash";1.0;"2023-01-22";"12:27:00";"2023-01-22";"12:37:00"
"Beatriz La Roca Apartments, Nairobi, Kenya";790.0;37.45;0.0;"Cash";18.0;"2023-01-22";"11:44:00";"2023-01-22";"12:24:00"
"Lumumba Drive, Nairobi";240.0;11.63;0.0;"Cash";4.0;"2023-01-22";"11:31:00";"2023-01-22";"11:44:00"
"East Church Road, Nairobi";630.0;29.84;0.0;"Cash";16.0;"2023-01-22";"10:58:00";"2023-01-22";"11:29:00"
"Umoja, Nairobi";690.0;32.33;0.0;"Cash";16.0;"2023-01-22";"10:27:00";"2023-01-22";"10:57:00"
"Akila Police Post, Nairobi";560.0;26.39;0.0;"Cash";13.0;"2023-01-22";"10:01:00";"2023-01-22";"10:26:00"
"House of Leather and Gifts, Kilimani Road, Nairobi";410.0;19.14;0.0;"Cash";8.0;"2023-01-22";"09:40:00";"2023-01-22";"09:58:00"
"Sonia Lane, Nairobi";460.0;21.48;0.0;"Cash";9.0;"2023-01-22";"09:07:00";"2023-01-22";"09:29:00"
"Mama Wahu Road, Nairobi";450.0;21.04;0.0;"Cash";9.0;"2023-01-22";"08:11:00";"2023-01-22";"08:27:00"
"Equity Bank Donholm, Nairobi, Kenya";860.0;39.07;0.0;"Cash";22.0;"2023-01-22";"07:28:00";"2023-01-22";"08:04:00"
"Thika Road, Nairobi";640.0;30.28;0.0;"Cash";14.0;"2023-01-21";"18:15:00";"2023-01-21";"18:55:00"
"Huruma Road 15, Nairobi";360.0;17.04;0.0;"Cash";5.0;"2023-01-21";"16:28:00";"2023-01-21";"17:01:00"
"Muindi Mbingu Street, Nairobi";470.0;22.42;0.0;"Cash";9.0;"2023-01-21";"16:02:00";"2023-01-21";"16:32:00"
"Ofafa, Nairobi";520.0;24.94;0.0;"Cash";12.0;"2023-01-21";"12:23:00";"2023-01-21";"13:08:00"
"Doonholm Road, Nairobi";250.0;11.61;0.0;"Cash";3.0;"2023-01-21";"10:51:00";"2023-01-21";"11:22:00"
"Rabai Road, Nairobi";340.0;16.13;0.0;"Cash";7.0;"2023-01-21";"09:27:00";"2023-01-21";"09:58:00"
"Sumba Road, Nairobi";520.0;24.61;0.0;"Cash";12.0;"2023-01-21";"08:38:00";"2023-01-21";"09:10:00"
"Park Road, Nairobi";280.0;13.17;0.0;"Cash";6.0;"2023-01-21";"08:17:00";"2023-01-21";"08:34:00"
"C.G.H.U. Parklands Secondary School, Nairobi";270.0;12.65;0.0;"Cash";5.0;"2023-01-21";"08:00:00";"2023-01-21";"08:15:00"
"Donholm Road, Nairobi";620.0;29.07;0.0;"Cash";15.0;"2023-01-21";"07:33:00";"2023-01-21";"07:58:00"
"Caltex Road, Nairobi";800.0;37.21;0.0;"Cash";19.0;"2023-01-20";"07:50:00";"2023-01-20";"08:20:00"
"Galleria Shopping Mall, Nairobi";1010.0;45.73;0.0;"Cash";21.0;"2023-01-19";"13:28:00";"2023-01-19";"14:09:00"
"Block -2B, Nairobi";290.0;13.46;0.0;"Cash";5.0;"2023-01-19";"12:45:00";"2023-01-19";"13:17:00"
"Mkoma Road, Nairobi";370.0;17.79;0.0;"Cash";8.0;"2023-01-19";"12:19:00";"2023-01-19";"12:36:00"
"Jadala Place, Ngong Lane, Nairobi";450.0;21.27;0.0;"Cash";9.0;"2023-01-19";"11:43:00";"2023-01-19";"12:15:00"
"Riverside Drive 50, Nairobi";320.0;15.24;0.0;"Cash";6.0;"2023-01-19";"10:54:00";"2023-01-19";"11:25:00"
"James Gichuru Road 90, Nairobi 00100";240.0;10.97;0.0;"Cash";3.0;"2023-01-19";"10:28:00";"2023-01-19";"10:40:00"
"Kilifi Close, Nairobi";500.0;23.78;0.0;"Cash";10.0;"2023-01-19";"08:19:00";"2023-01-19";"09:28:00"
"Savannah Road, Nairobi";420.0;19.86;0.0;"Cash";5.0;"2023-01-19";"07:41:00";"2023-01-19";"08:17:00"
"Mwanzi Road Westgate Mall, Nairobi 00100";1040.0;46.71;0.0;"Cash";27.0;"2023-01-18";"21:13:00";"2023-01-18";"22:03:00"
"Madina Estate, Nairobi";500.0;23.77;0.0;"Cash";10.0;"2023-01-18";"20:40:00";"2023-01-18";"21:09:00"
"Muiri Lane 36, Nairobi";510.0;23.89;0.0;"Cash";12.0;"2023-01-18";"19:55:00";"2023-01-18";"20:36:00"
"The Hub Karen, Dagoretti Road Nairobi, Nairobi";490.0;23.44;0.0;"Cash";10.0;"2023-01-18";"18:52:00";"2023-01-18";"19:18:00"
"Mweni Road, Nairobi";1020.0;48.63;0.0;"Cash";24.0;"2023-01-18";"16:46:00";"2023-01-18";"18:02:00"
"Arboretum Park Lane, Nairobi";370.0;17.6;0.0;"Cash";6.0;"2023-01-18";"15:33:00";"2023-01-18";"16:11:00"
"Kileleshwa, Nairobi";240.0;11.34;0.0;"Cash";4.0;"2023-01-18";"15:19:00";"2023-01-18";"15:36:00"
"Yaya Centre, Argwings Kodhek Rd, Nairobi";210.0;10.0;0.0;"Cash";3.0;"2023-01-18";"15:01:00";"2023-01-18";"15:17:00"
"Kirongothi Street, Nairobi";540.0;25.67;0.0;"Cash";12.0;"2023-01-18";"13:58:00";"2023-01-18";"14:43:00"
"Absolute P 1, Ngong Road, Nairobi";450.0;21.22;0.0;"Cash";9.0;"2023-01-18";"12:33:00";"2023-01-18";"13:09:00"
"Muringa Groove, Nairobi";230.0;10.83;0.0;"Cash";4.0;"2023-01-18";"11:17:00";"2023-01-18";"11:35:00"
"Mwanzi Road Westgate Mall, Nairobi 00100";420.0;19.66;0.0;"Cash";8.0;"2023-01-18";"10:54:00";"2023-01-18";"11:18:00"
"39 Muthithi Road, Nairobi, Kenya";190.0;9.0;0.0;"Cash";1.0;"2023-01-18";"10:26:00";"2023-01-18";"10:34:00"
"Leebarn B Estate, Nairobi, Kenya";460.0;21.87;0.0;"Cash";12.0;"2023-01-18";"08:53:00";"2023-01-18";"09:33:00"
"Donholm, Nairobi";540.0;25.56;0.0;"Cash";11.0;"2023-01-18";"08:13:00";"2023-01-18";"08:53:00"
"Mariakani Gardens, Nairobi";470.0;22.23;0.0;"Cash";11.0;"2023-01-18";"07:46:00";"2023-01-18";"08:13:00"
"Donholm Road, Nairobi";450.0;21.11;0.0;"Cash";8.0;"2023-01-18";"06:55:00";"2023-01-18";"07:34:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";1240.0;58.26;0.0;"Cash";29.0;"2023-01-17";"17:52:00";"2023-01-17";"18:47:00"
"Karuri Gakure Road 117, Nairobi";760.0;31.33;0.0;"Cash";16.0;"2023-01-17";"16:58:00";"2023-01-17";"17:39:00"
"Hatheru Road, Nairobi";480.0;22.52;0.0;"Cash";9.0;"2023-01-17";"16:25:00";"2023-01-17";"16:59:00"
"Mama Ngina Street 20TH Century House, Nairobi";490.0;23.32;0.0;"Cash";9.0;"2023-01-17";"15:27:00";"2023-01-17";"16:14:00"
"Ngong Road Next To Nakumatt Prestige, Opposite Morningside Office Park, Ngong Rd, Nairobi, Nairobi";340.0;16.11;0.0;"Cash";6.0;"2023-01-17";"14:54:00";"2023-01-17";"15:26:00"
"Maziwa";190.0;9.0;0.0;"Cash";2.0;"2023-01-17";"14:33:00";"2023-01-17";"14:45:00"
"Sasyl Apartment Houses, Nairobi, Kenya";200.0;9.37;0.0;"Cash";3.0;"2023-01-17";"14:16:00";"2023-01-17";"14:31:00"
"Huri Close, Nairobi";200.0;9.5;0.0;"Cash";4.0;"2023-01-17";"13:44:00";"2023-01-17";"14:05:00"
"Hatheru Apartments, Nairobi, Kenya";220.0;10.59;0.0;"Cash";4.0;"2023-01-17";"13:26:00";"2023-01-17";"13:40:00"
"Ramisi 18, Nairobi";190.0;9.0;0.0;"Cash";1.0;"2023-01-17";"13:05:00";"2023-01-17";"13:23:00"
"Maziwa, Nairobi";190.0;9.0;0.0;"Cash";2.0;"2023-01-17";"12:46:00";"2023-01-17";"12:56:00"
"Muthithi Road 30, Nairobi";350.0;16.57;0.0;"Cash";7.0;"2023-01-17";"12:01:00";"2023-01-17";"12:28:00"
"TotalEnergies Rosslyn Service Station, Limuru Road, Ruaka, Kenya";330.0;15.66;0.0;"Bolt Payment";7.0;"2023-01-17";"10:39:00";"2023-01-17";"10:59:00"
"Doonholm Road, Nairobi";850.0;39.43;0.0;"Cash";17.0;"2023-01-17";"07:50:00";"2023-01-17";"08:59:00"
"Kasarani Constituency, Nairobi";760.0;35.39;0.0;"Cash";20.0;"2023-01-15";"21:35:00";"2023-01-15";"22:05:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";1220.0;54.47;0.0;"Cash";29.0;"2023-01-15";"20:07:00";"2023-01-15";"21:01:00"
