"Pickup address";"Ride price";"Booking fee";"Tip";"Payment method";"Distance";"Order date";"Time of Order";"Payment date";"Time of Payment"
"Sky View, Ring Road Kilimani, Nairobi";1180.0;51.06;0.0;"Cash";20.0;"2023-01-15";"19:17:00";"2023-01-15";"19:56:00"
"Ziana Springs Apartments, Nairobi, Kenya";190.0;9.0;0.0;"Cash";1.0;"2023-01-15";"16:48:00";"2023-01-15";"16:55:00"
"Waiyaki Way, Nairobi";350.0;16.44;0.0;"Cash";6.0;"2023-01-15";"15:57:00";"2023-01-15";"16:19:00"
"Kawangware, Nairobi";540.0;25.26;0.0;"Cash";8.0;"2023-01-15";"15:23:00";"2023-01-15";"15:56:00"
"Argwings Kodhek Road, Nairobi";200.0;9.74;0.0;"Cash";4.0;"2023-01-15";"14:57:00";"2023-01-15";"15:13:00"
"Kaputei Road, Nairobi";210.0;10.0;0.0;"Bolt Payment";2.0;"2023-01-15";"14:29:00";"2023-01-15";"14:45:00"
"Ngumba Hawk apartments, Nairobi, Kenya";720.0;33.45;0.0;"Cash";16.0;"2023-01-15";"13:35:00";"2023-01-15";"14:14:00"
"Balozi Estate, Nairobi";210.0;10.06;0.0;"Cash";3.0;"2023-01-15";"13:08:00";"2023-01-15";"13:27:00"
"Kahawa South, Nairobi";310.0;14.64;0.0;"Cash";5.0;"2023-01-15";"12:13:00";"2023-01-15";"12:34:00"
"Terminal 1E, Nairobi Jomo Kenyatta Airport (NBO)";1040.0;46.85;0.0;"Cash";25.0;"2023-01-15";"11:16:00";"2023-01-15";"11:53:00"
"Cieko Road, Nairobi";1190.0;49.25;0.0;"Cash";26.0;"2023-01-15";"10:15:00";"2023-01-15";"11:03:00"
"Kasarani Police Station, Kasarani Mwiki Road, Nairobi";240.0;11.2;0.0;"Cash";4.0;"2023-01-15";"09:53:00";"2023-01-15";"10:07:00"
"Nairobi, Kenya";200.0;9.66;0.0;"Cash";3.0;"2023-01-15";"09:41:00";"2023-01-15";"09:53:00"
"Ruiru, Kenya";560.0;26.88;0.0;"Cash";14.0;"2023-01-15";"09:06:00";"2023-01-15";"09:40:00"
"Juja 00232, Kenya";440.0;21.09;0.0;"Cash";11.0;"2023-01-15";"08:41:00";"2023-01-15";"09:09:00"
"ICIPE Road, Nairobi";940.0;42.5;0.0;"Cash";24.0;"2023-01-15";"07:03:00";"2023-01-15";"07:27:00"
"Equity Bank Donholm, Nairobi, Kenya";370.0;17.3;0.0;"Cash";8.0;"2023-01-15";"06:11:00";"2023-01-15";"06:32:00"
"Camp David Car Wash, Nairobi, Kenya";510.0;24.09;0.0;"Cash";12.0;"2023-01-14";"05:21:00";"2023-01-14";"05:45:00"
"Kamiti Road, Nairobi";210.0;9.98;0.0;"Cash";3.0;"2023-01-14";"05:07:00";"2023-01-14";"05:18:00"
"Kahawa South, Nairobi";470.0;22.37;0.0;"Cash";7.0;"2023-01-13";"19:55:00";"2023-01-13";"20:36:00"
"Tom Mboya Street El-Roi Plaza, Nairobi";1140.0;46.16;0.0;"Cash";27.0;"2023-01-13";"12:54:00";"2023-01-13";"13:34:00"
"Eastleigh 2nd Avenue, Nairobi";410.0;17.46;0.0;"Cash";6.0;"2023-01-13";"12:05:00";"2023-01-13";"12:49:00"
"Westlands Road 4, Nairobi";350.0;15.15;0.0;"Cash";7.0;"2023-01-13";"11:43:00";"2023-01-13";"12:04:00"
"General Waruingi Street, Nairobi";310.0;13.19;0.0;"Cash";6.0;"2023-01-13";"10:48:00";"2023-01-13";"11:13:00"
"Mara Road KMA CENTRE, Nairobi";400.0;17.17;0.0;"Cash";8.0;"2023-01-13";"10:24:00";"2023-01-13";"10:47:00"
"Marimbi Street";340.0;14.67;0.0;"Cash";7.0;"2023-01-13";"10:02:00";"2023-01-13";"10:22:00"
"Nyayo Estate Embakasi Gate A, Nairobi, Kenya";730.0;30.99;0.0;"Cash";14.0;"2023-01-13";"09:13:00";"2023-01-13";"10:00:00"
"Bumi Road, Nairobi";540.0;23.25;0.0;"Cash";13.0;"2023-01-13";"08:20:00";"2023-01-13";"08:48:00"
"Bumbani Road 400, Nairobi";500.0;21.44;0.0;"Cash";10.0;"2023-01-13";"07:47:00";"2023-01-13";"08:19:00"
"Savannah Road, Nairobi";330.0;14.35;0.0;"Cash";6.0;"2023-01-13";"07:10:00";"2023-01-13";"07:44:00"
"Mombasa Road, Nairobi";610.0;26.28;0.0;"Cash";12.0;"2023-01-12";"18:17:00";"2023-01-12";"19:02:00"
"Nairobi, Kenya";190.0;8.06;0.0;"Cash";2.0;"2023-01-12";"17:59:00";"2023-01-12";"18:11:00"
"Nairobi, Kenya";210.0;8.96;0.0;"Cash";1.0;"2023-01-12";"17:48:00";"2023-01-12";"17:57:00"
"Fourways, Nairobi";750.0;31.76;0.0;"Cash";1.0;"2023-01-12";"16:59:00";"2023-01-12";"17:39:00"
"Kiambu County, Kenya";250.0;10.81;0.0;"Cash";3.0;"2023-01-12";"16:29:00";"2023-01-12";"16:46:00"
"Kiambu Road, Kiambu";220.0;9.41;0.0;"Cash";4.0;"2023-01-12";"16:05:00";"2023-01-12";"16:21:00"
"Kiambu, Kenya";300.0;12.83;0.0;"Cash";4.0;"2023-01-12";"15:00:00";"2023-01-12";"15:22:00"
"Chaka Road 3rd, Nairobi";760.0;32.08;0.0;"Cash";18.0;"2023-01-12";"13:31:00";"2023-01-12";"14:30:00"
"Koinage Street 19, Nairobi";260.0;11.29;0.0;"Cash";5.0;"2023-01-12";"12:16:00";"2023-01-12";"12:36:00"
"Taidy's Tavern Upperhill, Mawensi Road, Nairobi, Kenya";260.0;11.22;0.0;"Cash";4.0;"2023-01-12";"12:04:00";"2023-01-12";"12:16:00"
"Kirinyaga Road, Nairobi";270.0;11.47;0.0;"Cash";4.0;"2023-01-12";"11:19:00";"2023-01-12";"11:41:00"
"Trademark Hotel, The Village Market";450.0;19.23;0.0;"Cash";10.0;"2023-01-12";"10:51:00";"2023-01-12";"11:18:00"
"Kasarani Mwiki Road 5, Nairobi";660.0;28.31;0.0;"Cash";16.0;"2023-01-12";"10:10:00";"2023-01-12";"10:46:00"
"Kahawa South, Nairobi";340.0;14.51;0.0;"Cash";6.0;"2023-01-12";"08:56:00";"2023-01-12";"09:31:00"
"Doonholm Road, Nairobi";1200.0;48.16;0.0;"Cash";28.0;"2023-01-12";"07:13:00";"2023-01-12";"07:55:00"
"City Hall Way, Nairobi";340.0;14.52;0.0;"Cash";7.0;"2023-01-11";"15:11:00";"2023-01-11";"15:45:00"
"Hazina Estate, Nairobi";520.0;22.26;0.0;"Bolt Payment";9.0;"2023-01-11";"13:33:00";"2023-01-11";"14:34:00"
"Black Spot, Nairobi";210.0;8.96;0.0;"Cash";1.0;"2023-01-11";"13:13:00";"2023-01-11";"13:26:00"
"Ole Sangale Road 99A, Nairobi";190.0;8.06;0.0;"Cash";3.0;"2023-01-11";"12:49:00";"2023-01-11";"13:07:00"
"Haile Selassie Avenue, Nairobi";330.0;14.17;0.0;"Cash";4.0;"2023-01-11";"12:02:00";"2023-01-11";"12:21:00"
"Woodvale Grove Fortis Tower, Nairobi";260.0;11.29;0.0;"Cash";4.0;"2023-01-11";"11:27:00";"2023-01-11";"11:47:00"
"Credible Sounds, Moi Avenue, Nairobi, Kenya";280.0;11.86;0.0;"Cash";4.0;"2023-01-11";"10:38:00";"2023-01-11";"10:56:00"
"Masjid Noor- South C, Muhoho Ave, Nairobi, Kenya";310.0;13.34;0.0;"Cash";4.0;"2023-01-11";"10:15:00";"2023-01-11";"10:37:00"
"Nairobi, Kenya";190.0;8.06;0.0;"Cash";2.0;"2023-01-11";"10:00:00";"2023-01-11";"10:10:00"
"KFC Eastleigh, Genereal Waruingi Street, Nairobi";400.0;17.28;0.0;"Cash";13.0;"2023-01-11";"09:30:00";"2023-01-11";"10:00:00"
"City Park Crescent, Nairobi";300.0;12.89;0.0;"Cash";5.0;"2023-01-11";"09:11:00";"2023-01-11";"09:30:00"
"Muratina Street, Nairobi";270.0;11.43;0.0;"Cash";5.0;"2023-01-11";"08:44:00";"2023-01-11";"09:00:00"
"Kenya National Archives, Tom Mboya Street, Nairobi";310.0;13.17;0.0;"Cash";5.0;"2023-01-11";"08:23:00";"2023-01-11";"08:43:00"
"Mawensi Road 100, Nairobi";230.0;9.66;0.0;"Cash";2.0;"2023-01-11";"08:07:00";"2023-01-11";"08:23:00"
"Savannah Road, Nairobi";640.0;27.6;0.0;"Cash";11.0;"2023-01-11";"07:20:00";"2023-01-11";"08:03:00"
"Major Jackson Muirithi Street, Nairobi";440.0;19.08;0.0;"Cash";7.0;"2023-01-10";"19:26:00";"2023-01-10";"20:06:00"
"Moi Avenue, Nairobi";320.0;13.76;0.0;"Cash";4.0;"2023-01-10";"18:46:00";"2023-01-10";"19:16:00"
"Mkonge Road, Nairobi";300.0;13.05;0.0;"Cash";3.0;"2023-01-10";"18:12:00";"2023-01-10";"18:44:00"
"Wood Avenue, Nairobi";540.0;23.13;0.0;"Cash";9.0;"2023-01-10";"17:19:00";"2023-01-10";"18:13:00"
"Timboroa Street, Nairobi";520.0;22.51;0.0;"Cash";12.0;"2023-01-10";"16:11:00";"2023-01-10";"16:53:00"
"Sasuma Crescent, Nairobi";620.0;26.49;0.0;"Cash";13.0;"2023-01-10";"15:25:00";"2023-01-10";"16:10:00"
"Hospital Road, Nairobi Club";480.0;20.4;0.0;"Cash";12.0;"2023-01-10";"14:06:00";"2023-01-10";"14:26:00"
"Moi Avenue Bazaar Plaza, Nairobi";260.0;11.1;0.0;"Cash";4.0;"2023-01-10";"13:45:00";"2023-01-10";"14:06:00"
"Muthangari, Nairobi";460.0;19.74;0.0;"Cash";8.0;"2023-01-10";"13:02:00";"2023-01-10";"13:45:00"
"Woodvale Close, Nairobi";210.0;8.96;0.0;"Cash";3.0;"2023-01-10";"12:47:00";"2023-01-10";"12:59:00"
"Nairobi Central, Nairobi";290.0;12.63;0.0;"Cash";4.0;"2023-01-10";"12:02:00";"2023-01-10";"12:26:00"
"Entrance Pramukh Swami Ave, Diamond Plaza Parklands";300.0;12.76;0.0;"Cash";5.0;"2023-01-10";"11:26:00";"2023-01-10";"12:01:00"
"Mwanzi Road Westgate Mall, Nairobi 00100";220.0;9.53;0.0;"Cash";3.0;"2023-01-10";"11:05:00";"2023-01-10";"11:18:00"
"Mweni Road, Nairobi";370.0;15.78;0.0;"Cash";6.0;"2023-01-10";"10:40:00";"2023-01-10";"11:03:00"
"City Park Close Two, Nairobi";250.0;10.72;0.0;"Cash";4.0;"2023-01-10";"10:13:00";"2023-01-10";"10:31:00"
"Muslim Road, Nairobi";280.0;11.89;0.0;"Cash";5.0;"2023-01-10";"09:55:00";"2023-01-10";"10:13:00"
"Nairobi, Kenya";410.0;17.66;0.0;"Cash";7.0;"2023-01-10";"09:09:00";"2023-01-10";"09:51:00"
"Kangethe Green, Nairobi";250.0;10.84;0.0;"Cash";4.0;"2023-01-10";"08:17:00";"2023-01-10";"08:49:00"
"Gatonye Court 198, Nairobi";800.0;34.16;0.0;"Cash";16.0;"2023-01-10";"07:20:00";"2023-01-10";"08:17:00"
"Nairobi, Kenya";440.0;19.02;0.0;"Cash";8.0;"2023-01-08";"15:03:00";"2023-01-08";"15:39:00"
"Pedestrian Entrance, Garden City Mall";320.0;13.89;0.0;"Cash";4.0;"2023-01-08";"14:29:00";"2023-01-08";"14:53:00"
"Leeks Court, MUA Road, Nairobi, Kenya";870.0;35.94;0.0;"Cash";22.0;"2023-01-08";"11:43:00";"2023-01-08";"12:20:00"
"Nairobi, Kenya";190.0;8.06;0.0;"Cash";2.0;"2023-01-08";"11:21:00";"2023-01-08";"11:39:00"
"Balozi Estate, South B, Likoni Road, Likoni Road, Nairobi, Kenya";300.0;12.75;0.0;"Cash";6.0;"2023-01-08";"10:36:00";"2023-01-08";"11:01:00"
"Kangundo Road, Nairobi";650.0;27.86;0.0;"Cash";15.0;"2023-01-08";"09:27:00";"2023-01-08";"10:11:00"
"Muarubaine Mumbu Court, Nairobi, Kenya";1210.0;48.76;0.0;"Cash";31.0;"2023-01-08";"08:39:00";"2023-01-08";"09:32:00"
"Embakasi, Nairobi";1000.0;40.68;0.0;"Cash";2.0;"2023-01-08";"07:21:00";"2023-01-08";"08:00:00"
"Kairu Road, Nairobi";1210.0;54.36;0.0;"Bolt Payment";3.0;"2023-02-27";"19:03:00";"2023-02-27";"19:21:00"
"Mombasa Road, Nairobi";280.0;13.35;0.0;"Cash";4.0;"2023-02-26";"23:41:00";"2023-02-26";"23:52:00"
"TRM Drive, Nairobi";1030.0;42.42;0.0;"Cash";23.0;"2023-02-26";"22:45:00";"2023-02-26";"23:21:00"
"Kangundo Road, Nairobi";390.0;18.77;0.0;"Cash";6.0;"2023-02-26";"20:34:00";"2023-02-26";"21:03:00"
"Simba Day Nursery Shool, Nairobi, Kenya";250.0;12.12;0.0;"Cash";4.0;"2023-02-26";"20:01:00";"2023-02-26";"20:27:00"
"Mumias South Road 100, Nairobi";400.0;19.09;0.0;"Cash";7.0;"2023-02-26";"19:04:00";"2023-02-26";"19:44:00"
"Mowlem";300.0;14.36;0.0;"Cash";5.0;"2023-02-26";"18:24:00";"2023-02-26";"19:10:00"
"Pedestrian Entrance, Garden City Mall";380.0;15.67;0.0;"Cash";6.0;"2023-02-26";"18:04:00";"2023-02-26";"18:19:00"
"Mosque Lane, Nairobi";310.0;14.69;0.0;"Cash";7.0;"2023-02-26";"17:32:00";"2023-02-26";"18:03:00"
"Owuor Fabricators & Supplies, New Njiru Town, Kenya";520.0;24.62;0.0;"Cash";8.0;"2023-02-26";"16:36:00";"2023-02-26";"17:28:00"
"Ruaraka, Nairobi";530.0;25.16;0.0;"Cash";11.0;"2023-02-26";"15:55:00";"2023-02-26";"16:36:00"
"George Padmore Road, Nairobi";680.0;32.01;0.0;"Cash";15.0;"2023-02-26";"15:12:00";"2023-02-26";"15:48:00"
"Amani ya Juu, Riverside West Lane, Nairobi";240.0;11.42;0.0;"Cash";4.0;"2023-02-26";"14:55:00";"2023-02-26";"15:11:00"
"Karuna Road, Sarit Centre";200.0;9.56;0.0;"Cash";3.0;"2023-02-26";"14:15:00";"2023-02-26";"14:32:00"
"Hilltop apartments, Murua Drive, Ruaka, Kenya";500.0;23.84;0.0;"Cash";11.0;"2023-02-26";"13:32:00";"2023-02-26";"14:00:00"
"Lumumba Drive, Nairobi";590.0;28.1;0.0;"Cash";14.0;"2023-02-26";"12:40:00";"2023-02-26";"13:13:00"
"Kirinyaga Road, Nairobi";510.0;24.51;0.0;"Bolt Payment";12.0;"2023-02-26";"12:14:00";"2023-02-26";"12:31:00"
"Coast Road, Nairobi";490.0;23.3;0.0;"Cash";10.0;"2023-02-26";"11:42:00";"2023-02-26";"12:11:00"
"Embakasi, Nairobi";1150.0;51.72;0.0;"Cash";26.0;"2023-02-26";"10:54:00";"2023-02-26";"11:39:00"
"Gesora Road Utawala, Nairobi";350.0;16.88;0.0;"Cash";8.0;"2023-02-26";"10:27:00";"2023-02-26";"10:53:00"
"Utawala Road, Nairobi";250.0;11.87;0.0;"Cash";5.0;"2023-02-26";"10:05:00";"2023-02-26";"10:19:00"
"Mihango, Nairobi";190.0;9.0;0.0;"Cash";1.0;"2023-02-26";"09:39:00";"2023-02-26";"10:00:00"
"Salama Court, Nairobi, Kenya";560.0;26.8;0.0;"Cash";14.0;"2023-02-26";"08:59:00";"2023-02-26";"09:32:00"
"Wallet Bar, Kayole Spine Road, Nairobi";260.0;12.38;0.0;"Cash";3.0;"2023-02-25";"18:37:00";"2023-02-25";"19:06:00"
"Kahawa South, Nairobi";750.0;35.07;0.0;"Cash";18.0;"2023-02-25";"17:53:00";"2023-02-25";"18:37:00"
"Matangi Road";470.0;22.24;0.0;"Cash";11.0;"2023-02-25";"17:26:00";"2023-02-25";"17:53:00"
"Limuru Road , Two Rivers Mall";1360.0;62.98;0.0;"Cash";35.0;"2023-02-25";"14:52:00";"2023-02-25";"16:02:00"
"Agger Drive";390.0;16.14;0.0;"Cash";6.0;"2023-02-25";"14:14:00";"2023-02-25";"14:39:00"
"Kwaheri Road, Nairobi";250.0;12.09;0.0;"Cash";4.0;"2023-02-25";"13:49:00";"2023-02-25";"14:16:00"
"Kamiti Road, Nairobi";440.0;21.02;0.0;"Cash";10.0;"2023-02-25";"12:39:00";"2023-02-25";"13:20:00"
"RXV5+49F, A2, Ruiru, Kenya";500.0;23.85;0.0;"Cash";12.0;"2023-02-25";"11:29:00";"2023-02-25";"12:03:00"
"Rungiri, Kenya";1370.0;63.19;0.0;"Cash";33.0;"2023-02-25";"10:20:00";"2023-02-25";"11:11:00"
"Rungiri, Kenya";570.0;27.07;0.0;"Cash";12.0;"2023-02-25";"08:09:00";"2023-02-25";"09:18:00"
"Kasarani Constituency, Nairobi";700.0;33.49;0.0;"Cash";18.0;"2023-02-24";"17:51:00";"2023-02-24";"18:34:00"
"Kiambu Road";630.0;29.92;0.0;"Cash";13.0;"2023-02-24";"16:58:00";"2023-02-24";"17:36:00"
"Feruzi Towers, Kenya";910.0;42.26;0.0;"Cash";18.0;"2023-02-24";"15:37:00";"2023-02-24";"16:33:00"
"Ndemi Close, Nairobi";890.0;41.34;0.0;"Cash";18.0;"2023-02-24";"14:13:00";"2023-02-24";"15:21:00"
"Muchene Road, Nairobi";490.0;23.29;0.0;"Cash";9.0;"2023-02-24";"13:33:00";"2023-02-24";"14:05:00"
"Jonem Apartments, Lumumba 1st Avenue, Nairobi, Kenya";1340.0;62.21;0.0;"Cash";31.0;"2023-02-24";"10:20:00";"2023-02-24";"11:23:00"
"Kahawa South, Nairobi";210.0;10.0;0.0;"Cash";2.0;"2023-02-24";"09:45:00";"2023-02-24";"10:06:00"
"Riverside Gardens, Nairobi";650.0;30.71;0.0;"Cash";16.0;"2023-02-24";"09:18:00";"2023-02-24";"09:45:00"
"Glenbrooke Apartments, Nairobi";260.0;12.59;0.0;"Cash";4.0;"2023-02-24";"08:55:00";"2023-02-24";"09:11:00"
"Doonholm Road, Nairobi";730.0;34.64;0.0;"Cash";17.0;"2023-02-24";"07:42:00";"2023-02-24";"08:49:00"
"General Waruingi Street, Nairobi";440.0;21.11;0.0;"Cash";8.0;"2023-02-22";"14:09:00";"2023-02-22";"14:31:00"
"St.Mary's, Nairobi";590.0;28.12;0.0;"Cash";14.0;"2023-02-22";"13:24:00";"2023-02-22";"13:55:00"
"Njiwa Road, Nairobi";660.0;31.37;0.0;"Cash";14.0;"2023-02-22";"12:14:00";"2023-02-22";"13:02:00"
"Jasmine Lane 252, Nairobi";930.0;42.42;0.0;"Cash";24.0;"2023-02-22";"11:35:00";"2023-02-22";"12:11:00"
"Kilimani, Nairobi";460.0;21.95;0.0;"Cash";11.0;"2023-02-22";"10:44:00";"2023-02-22";"11:10:00"
"Nairobi, Kenya";730.0;34.75;0.0;"Cash";16.0;"2023-02-22";"09:23:00";"2023-02-22";"10:16:00"
"Kiambu County, Kenya";300.0;14.27;0.0;"Cash";7.0;"2023-02-22";"08:17:00";"2023-02-22";"08:40:00"
"Langata Road, Nairobi";1050.0;47.21;0.0;"Cash";25.0;"2023-02-22";"06:52:00";"2023-02-22";"07:41:00"
"Mirema Drive, Nairobi";600.0;28.7;0.0;"Cash";14.0;"2023-02-21";"21:49:00";"2023-02-21";"22:11:00"
"Kasarani Constituency, Nairobi";310.0;14.68;0.0;"Cash";6.0;"2023-02-21";"19:43:00";"2023-02-21";"20:17:00"
"Icipe Road 1, Nairobi";570.0;27.27;0.0;"Cash";10.0;"2023-02-21";"18:37:00";"2023-02-21";"19:35:00"
"Wilson Flyover 60, Nairobi";910.0;42.43;0.0;"Cash";17.0;"2023-02-21";"17:13:00";"2023-02-21";"18:10:00"
"Umoja 3 Hospital, Nairobi, Kenya";590.0;27.95;0.0;"Cash";14.0;"2023-02-21";"16:31:00";"2023-02-21";"17:10:00"
"Lumumba 1st Avenue, Nairobi";550.0;26.18;0.0;"Cash";11.0;"2023-02-21";"16:03:00";"2023-02-21";"16:30:00"
"Sports Drive Estate, Nairobi";230.0;10.94;0.0;"Cash";4.0;"2023-02-21";"11:00:00";"2023-02-21";"11:12:00"
"Popo Road, Nairobi";760.0;35.44;0.0;"Cash";18.0;"2023-02-21";"10:18:00";"2023-02-21";"10:48:00"
"Mihango, Nairobi";630.0;30.16;0.0;"Cash";15.0;"2023-02-21";"08:45:00";"2023-02-21";"09:33:00"
"Sports View Road, Nairobi";620.0;29.35;0.0;"Cash";13.0;"2023-02-21";"08:01:00";"2023-02-21";"08:30:00"
"Buffalo Court, Kurosaki Marucho Road, Nairobi, Kenya";580.0;27.51;0.0;"Cash";11.0;"2023-02-21";"06:45:00";"2023-02-21";"07:22:00"
"Temple Lane, Nairobi";470.0;22.15;0.0;"Cash";10.0;"2023-02-19";"22:06:00";"2023-02-19";"22:30:00"
"Harry Thuku Road, Nairobi";280.0;13.24;0.0;"Cash";6.0;"2023-02-19";"21:15:00";"2023-02-19";"21:36:00"
"Waiyaki Way Viking House, Nairobi";200.0;9.66;0.0;"Cash";4.0;"2023-02-19";"20:53:00";"2023-02-19";"21:11:00"
"Nanaksar Gurudwara, Nairobi";200.0;9.38;0.0;"Cash";3.0;"2023-02-19";"20:38:00";"2023-02-19";"20:49:00"
"Kipande Athumani Street, Nairobi";410.0;19.41;0.0;"Cash";8.0;"2023-02-19";"20:09:00";"2023-02-19";"20:38:00"
"Chalbi Drive 1096, Nairobi";540.0;25.62;0.0;"Cash";12.0;"2023-02-19";"19:21:00";"2023-02-19";"19:55:00"
"Lumumba 1st Avenue, Nairobi";840.0;39.83;0.0;"Cash";19.0;"2023-02-19";"18:43:00";"2023-02-19";"19:18:00"
"Kangaru Road, Nairobi";550.0;26.24;0.0;"Cash";13.0;"2023-02-19";"17:38:00";"2023-02-19";"18:03:00"
"Umoja, Nairobi";330.0;15.83;0.0;"Cash";5.0;"2023-02-19";"16:49:00";"2023-02-19";"17:11:00"
"Kangundo Road, Nairobi";210.0;9.92;0.0;"Cash";3.0;"2023-02-19";"16:31:00";"2023-02-19";"16:42:00"
"Masimba Road, Nairobi";370.0;17.44;0.0;"Cash";7.0;"2023-02-19";"15:12:00";"2023-02-19";"15:47:00"
"Umoja, Nairobi";210.0;10.12;0.0;"Cash";3.0;"2023-02-19";"14:47:00";"2023-02-19";"15:12:00"
"Umoja One Market, Nairobi";190.0;9.16;0.0;"Cash";3.0;"2023-02-19";"14:21:00";"2023-02-19";"14:39:00"
"Savannah Road, Nairobi";260.0;12.23;0.0;"Cash";4.0;"2023-02-19";"14:01:00";"2023-02-19";"14:17:00"
"Terminal 2, Nairobi Jomo Kenyatta Airport (NBO)";600.0;28.47;0.0;"Cash";11.0;"2023-02-19";"11:58:00";"2023-02-19";"12:26:00"
"Kandara Road, Nairobi";190.0;9.0;0.0;"Cash";2.0;"2023-02-19";"09:47:00";"2023-02-19";"10:02:00"
"Kariobangi South, Nairobi";610.0;28.83;0.0;"Cash";13.0;"2023-02-19";"09:13:00";"2023-02-19";"09:47:00"
"Kahawa South, Nairobi";430.0;20.41;0.0;"Cash";9.0;"2023-02-19";"08:47:00";"2023-02-19";"09:10:00"
"The Loft Lounge and Grill, Thome Road, Nairobi";220.0;10.63;0.0;"Cash";4.0;"2023-02-19";"08:23:00";"2023-02-19";"08:41:00"
"Doonholm Road, Nairobi";450.0;21.21;0.0;"Cash";9.0;"2023-02-19";"07:54:00";"2023-02-19";"08:17:00"
"Limuru Road off, Nairobi";430.0;20.48;0.0;"Bolt Payment";9.0;"2023-02-17";"19:40:00";"2023-02-17";"20:03:00"
"Parklands Road 11, Nairobi";600.0;28.75;0.0;"Bolt Payment";12.0;"2023-02-17";"17:41:00";"2023-02-17";"18:41:00"
"Timboroa Street, Nairobi";490.0;23.49;0.0;"Cash";7.0;"2023-02-17";"16:57:00";"2023-02-17";"17:36:00"
"St. Mary's Hospital, Nairobi";650.0;30.83;0.0;"Cash";13.0;"2023-02-17";"16:21:00";"2023-02-17";"16:57:00"
"Langata Road Langata Rd, Nairobi, Nairobi";320.0;12.93;0.0;"Cash";5.0;"2023-02-17";"16:02:00";"2023-02-17";"16:17:00"
"Nairobi, Kenia";240.0;11.56;0.0;"Cash";4.0;"2023-02-17";"14:14:00";"2023-02-17";"14:27:00"
"Kirichwa Road, Nairobi";540.0;25.62;0.0;"Cash";11.0;"2023-02-17";"13:44:00";"2023-02-17";"14:06:00"
"Kimathi Street Kimathi House, Nairobi";370.0;17.78;0.0;"Cash";6.0;"2023-02-17";"13:09:00";"2023-02-17";"13:40:00"
"Muhoho Avenue, Nairobi";300.0;14.45;0.0;"Cash";4.0;"2023-02-17";"12:34:00";"2023-02-17";"13:12:00"
"Gigiri Road, Nairobi";590.0;28.27;0.0;"Cash";13.0;"2023-02-17";"11:54:00";"2023-02-17";"12:29:00"
